Pair,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
P1-P2-Post1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192
P1-P2-Post2,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,192
P3-P4-Post1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P3-P4-Post2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
P9-P10-Post1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P9-P10-Post2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P11-P12-Post1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0
P11-P12-Post2,0,0,0,0,0,0,0,0,0,0,11,0,0,0,12,0
P13-P14-Post1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1
P13-P14-Post2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
P15-P16-Post1,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
P15-P16-Post2,18,0,0,0,6,0,2,0,0,0,15,0,0,0,28,0
P17-P18-Post2,0,0,0,0,0,0,0,0,10,0,5,0,0,0,180,0
P19-P20-Post1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P19-P20-Post2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P21-P22-Post1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P21-P22-Post2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
